INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../Compute.cpp in debug mode
   Generating csim.exe
 my out: 0.140625
 my out: 0.546875
 my out: 0
 my out: 0.921875
 my out: 0
 my out: 0.867188
 my out: 0
 my out: 0.921875
 my out: 0.109375
 my out: 0.53125
 my out: 0.117188
 my out: 0
 my out: 0.960938
 my out: 0.609375
 my out: 0.6875
 my out: 0
 my out: 0
 my out: 0
 my out: 0.523438
 my out: 0.226563
 my out: 0.546875
 my out: 0.976563
 my out: 0.296875
 my out: 0.171875
 my out: 0.59375
 my out: 0.164063
 my out: 0.78125
 my out: 0.992188
 my out: 0.195313
 my out: 0.179688
 my out: 0.617188
 my out: 0.335938
 my out: 0.84375
 my out: 0.609375
 my out: 0.15625
 my out: 0
 my out: 0
 my out: 0.0546875
 my out: 0
 my out: 0.117188
 my out: 0
 my out: 0.171875
 my out: 0.976563
 my out: 0
 my out: 0.140625
 my out: 0.429688
 my out: 0.117188
 my out: 0
 my out: 0.0625
 my out: 0.179688
 my out: 0.875
 my out: 0.835938
 my out: 0.0546875
 my out: 0.929688
 my out: 0.335938
 my out: 0.046875
 my out: 0.117188
 my out: 0
 my out: 0.898438
 my out: 0.140625
 my out: 0.851563
 my out: 0.21875
 my out: 0.15625
 my out: 0.429688
 my out: 0.984375
 my out: 0
 my out: 0.335938
 my out: 0.125
 my out: 0
 my out: 0.257813
 my out: 0.664063
 my out: 0.429688
 my out: 0.234375
 my out: 0.164063
 my out: 0
 my out: 0.71875
 my out: 0.429688
 my out: 0.3125
 my out: 0.171875
 my out: 0
 my out: 0.304688
 my out: 0.976563
 my out: 0.960938
 my out: 0
 my out: 0.195313
 my out: 0.945313
 my out: 0.734375
 my out: 0.851563
 my out: 0.992188
 my out: 0.15625
 my out: 0.351563
 my out: 0.15625
 my out: 0.960938
 my out: 0.0859375
 my out: 0.585938
 my out: 0.914063
 my out: 0
 my out: 0
 my out: 0.609375
 my out: 0.101563
 my out: 0.976563
 my out: 0.382813
 my out: 0
 my out: 0
 my out: 0
 my out: 0
 my out: 0.929688
 my out: 0.992188
 my out: 0.890625
 my out: 0.390625
 my out: 0
 my out: 0
 my out: 0.664063
 my out: 0.789063
 my out: 0.609375
 my out: 0.4375
 my out: 0.210938
 my out: 0.921875
 my out: 0.507813
 my out: 0.734375
 my out: 0.609375
 my out: 0.960938
 my out: 0.421875
 my out: 0
 my out: 0.96875
 my out: 0.0625
 my out: 0
 my out: 0.882813
 my out: 0.960938
 my out: 0.179688
 my out: 0
 my out: 0.179688
 my out: 0.40625
 my out: 0.601563
 my out: 0.351563
 my out: 0.101563
 my out: 0.890625
 my out: 0.164063
 my out: 0.3125
 my out: 0.976563
 my out: 0.984375
 my out: 0.164063
 my out: 0
 my out: 0.421875
 my out: 0.96875
 my out: 0.921875
 my out: 0.609375
 my out: 0
 my out: 0
 my out: 0.492188
 my out: 0
 my out: 0.0859375
 my out: 0
 my out: 0.84375
 my out: 0.984375
 my out: 0.875
 my out: 0.0546875
 my out: 0.898438
 my out: 0.710938
 my out: 0.171875
 my out: 0.476563
 my out: 0.1875
 my out: 0.507813
 my out: 0.171875
 my out: 0.101563
 my out: 0.945313
 my out: 0.96875
 my out: 0
 my out: 0.96875
 my out: 0.171875
 my out: 0.953125
 my out: 0.976563
 my out: 0.546875
 my out: 0.148438
 my out: 0.507813
 my out: 0.476563
 my out: 0
 my out: 0.0703125
 my out: 0.953125
 my out: 0.25
 my out: 0
 my out: 0.234375
 my out: 0
 my out: 0.429688
 my out: 0
 my out: 0.0703125
 my out: 0
 my out: 0.367188
 my out: 0.25
 my out: 0.125
 my out: 0.140625
 my out: 0.609375
 my out: 0.523438
 my out: 0.507813
 my out: 0.445313
 my out: 0.828125
 my out: 0.421875
 my out: 0.507813
 my out: 0
 my out: 0.46875
 my out: 0.984375
 my out: 0.3125
 my out: 0.976563
 my out: 0.96875
 my out: 0.117188
 my out: 0.992188
 my out: 0
 my out: 0
 my out: 0.9375
 my out: 0.015625
 my out: 0.640625
 my out: 0.460938
 my out: 0.976563
 my out: 0
 my out: 0.351563
 my out: 0.4375
 my out: 0.257813
 my out: 0.703125
 my out: 0
 my out: 0
 my out: 0.304688
 my out: 0.117188
 my out: 0.570313
 my out: 0.125
 my out: 0.5625
 my out: 0
 my out: 0.289063
 my out: 0.851563
 my out: 0.953125
 my out: 0.945313
 my out: 0.09375
 my out: 0.1875
 my out: 0
 my out: 0.203125
 my out: 0.328125
 my out: 0.984375
 my out: 0.28125
 my out: 0.507813
 my out: 0.679688
 my out: 0.609375
 my out: 0.0859375
 my out: 0.460938
 my out: 0.570313
 my out: 0
 my out: 0.140625
 my out: 0.515625
 my out: 0.742188
 my out: 0.0234375
 my out: 0.3125
 my out: 0.804688
 my out: 0.960938
 my out: 0.5625
 my out: 0.0859375
 my out: 0.1875
 my out: 0.335938
 my out: 0.210938

Total: 0
Correct: 0
Incorrect: 0
Accuracy: -nan%
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
